Age,Gender,County,Monthly_Income,Loan_Amount,Loan_Term_Days,Loan_Purpose,Mpesa_Transactions,Mpesa_Volume,Previous_Loans,Previous_Defaults,Repayment_Score,Credit_Score,Loan_Repaid
61,Female,Machakos,7664,20233,14,Emergency,167,28656,2,0,0.722,0.671,1
25,Male,Meru,34299,11906,30,Farm Inputs,68,15049,3,0,0.866,0.779,1
64,Female,Kiambu,49230,28667,30,Business,169,17946,2,0,0.588,0.659,1
52,Male,Mombasa,35832,31159,30,Emergency,49,2493,2,1,0.775,0.635,1
31,Female,Kiambu,28883,37479,30,Business,42,17007,2,0,0.68,0.678,1
34,Female,Nakuru,24744,44874,30,School Fees,114,17069,3,0,0.803,0.735,0
53,Female,Mombasa,45191,44904,14,Farm Inputs,105,11008,4,2,0.645,0.563,0
57,Male,Machakos,50778,8451,14,Emergency,89,17090,1,0,0.785,0.76,0
21,Male,Kisumu,17957,19657,14,School Fees,159,16743,4,0,0.796,0.722,1
19,Male,Nairobi,5000,34506,60,Personal,197,26322,3,0,0.713,0.663,1
23,Female,Kiambu,5000,28024,30,Personal,77,9675,5,1,0.164,0.338,0
59,Female,Mombasa,40862,1240,30,School Fees,7,8792,2,0,0.764,0.736,1
21,Male,Machakos,24435,28959,60,Emergency,63,9040,3,0,0.64,0.653,1
46,Female,Nairobi,27198,12824,30,Emergency,104,11952,2,0,0.608,0.64,1
35,Male,Meru,5000,31599,30,Farm Inputs,34,3844,2,0,0.474,0.544,0
43,Male,Machakos,15961,44303,30,School Fees,20,13165,5,2,0.436,0.439,0
61,Male,Kisumu,21454,10227,30,Personal,33,15244,4,0,0.748,0.703,0
51,Male,Nairobi,27494,868,30,School Fees,104,25495,4,0,0.564,0.619,0
27,Female,Nairobi,20216,43731,14,Business,28,14126,3,1,0.473,0.488,1
53,Female,Meru,12552,27033,30,Emergency,11,23861,3,1,0.636,0.56,1
31,Female,Nairobi,15585,38177,14,Business,181,20801,5,0,0.715,0.678,1
48,Male,Mombasa,39499,30908,14,Personal,195,15967,3,0,0.724,0.714,1
32,Female,Nairobi,27937,38487,14,Emergency,105,14003,2,0,0.692,0.683,1
25,Male,Machakos,32345,42558,14,Personal,50,18753,4,0,0.586,0.636,1
31,Male,Mombasa,14213,40872,60,Personal,52,19497,6,1,0.981,0.767,1
40,Male,Nairobi,5000,15538,14,Personal,106,11303,0,0,0.55,0.582,1
57,Male,Machakos,18722,42851,60,Farm Inputs,157,19103,2,0,0.701,0.676,1
38,Male,Machakos,14601,39474,60,Personal,47,14367,4,0,0.53,0.584,0
33,Male,Kiambu,29188,10723,14,Personal,59,18816,4,1,0.649,0.603,0
62,Female,Machakos,64428,49561,30,Business,166,26491,2,1,0.537,0.554,0
35,Female,Meru,33341,26754,30,Business,69,12472,4,2,0.465,0.457,0
64,Female,Nakuru,57831,27222,14,Business,160,1102,1,0,0.658,0.706,1
41,Female,Kisumu,31825,19708,14,Emergency,45,14627,2,1,0.873,0.679,0
43,Male,Nairobi,17441,21054,60,Farm Inputs,161,7486,3,0,0.802,0.724,1
42,Male,Meru,29174,20665,60,Emergency,164,16841,1,0,0.473,0.576,0
62,Female,Nairobi,46367,28440,30,Farm Inputs,38,7947,2,0,0.519,0.621,1
58,Female,Nairobi,46954,20012,60,Farm Inputs,63,14224,2,0,0.896,0.811,1
46,Female,Machakos,18095,9964,60,School Fees,193,26413,1,0,0.838,0.743,1
32,Female,Machakos,28038,2479,14,School Fees,184,27825,5,1,0.622,0.598,1
62,Female,Nairobi,7848,28773,60,School Fees,67,17528,5,0,0.924,0.772,1
18,Female,Nakuru,34896,7112,60,Farm Inputs,158,8690,5,0,0.669,0.681,1
42,Female,Mombasa,43640,27263,60,Farm Inputs,16,21115,5,0,0.653,0.685,1
24,Female,Mombasa,25477,6522,30,Emergency,26,11744,2,0,0.517,0.592,1
26,Male,Kisumu,16991,39349,14,Farm Inputs,60,4571,3,1,0.524,0.51,0
41,Male,Kiambu,29321,10268,30,Personal,10,28674,5,0,0.798,0.738,0
18,Male,Meru,30009,28555,14,Personal,40,14926,2,0,0.418,0.549,1
61,Male,Kisumu,25973,8332,14,Farm Inputs,130,18859,2,1,0.784,0.627,1
25,Female,Nairobi,27144,18139,60,Personal,191,12722,3,0,0.733,0.703,0
41,Male,Meru,22914,799,30,Farm Inputs,63,18741,6,0,0.756,0.708,1
28,Female,Nairobi,36951,19926,30,School Fees,72,9217,1,1,0.478,0.438,0
34,Male,Nairobi,33834,47764,60,Farm Inputs,56,14190,2,1,0.521,0.506,0
25,Female,Kiambu,13202,31154,30,School Fees,124,21417,4,0,0.605,0.62,0
52,Female,Machakos,12872,47497,14,Business,81,13743,2,1,0.513,0.474,0
52,Male,Kiambu,21947,18164,14,Personal,84,9097,3,0,0.93,0.794,1
50,Male,Kisumu,33842,13528,14,Business,111,21450,4,1,0.651,0.611,0
22,Female,Machakos,26776,25937,60,Personal,183,12473,1,0,0.585,0.628,1
59,Female,Machakos,17282,5089,30,Business,94,12325,3,0,0.836,0.741,1
56,Female,Kisumu,28138,8633,14,Farm Inputs,101,7096,5,0,0.847,0.761,1
58,Male,Machakos,21030,39900,60,Business,72,25832,2,0,0.348,0.502,0
45,Male,Meru,35565,15959,14,Personal,158,22449,8,1,0.398,0.513,0
24,Female,Mombasa,28996,19668,14,Emergency,77,13223,3,1,0.613,0.57,1
26,Male,Kisumu,21216,7898,30,Personal,45,8904,4,0,0.475,0.566,1
25,Female,Kisumu,27778,23592,60,Emergency,137,19752,6,2,0.668,0.586,0
29,Male,Mombasa,40780,12877,14,Farm Inputs,185,17819,2,1,0.875,0.692,1
51,Male,Kiambu,18164,9803,14,Personal,170,12119,2,1,0.769,0.609,1
50,Male,Kiambu,29831,26132,60,Business,120,14356,4,0,0.77,0.725,0
40,Male,Kiambu,24154,42555,60,Farm Inputs,97,19138,2,0,0.955,0.81,1
41,Male,Machakos,30123,47135,30,Personal,106,16599,3,1,0.589,0.56,1
54,Female,Mombasa,17145,35568,14,Farm Inputs,108,17586,5,0,0.561,0.603,1
52,Female,Meru,26324,24853,30,Emergency,96,16829,1,0,0.651,0.661,1
61,Male,Kisumu,38293,15765,14,Farm Inputs,185,20105,2,0,0.638,0.67,0
57,Female,Kisumu,13755,37259,30,Business,188,11093,3,0,0.717,0.677,1
39,Female,Kisumu,9047,17397,14,Personal,23,16124,1,0,0.517,0.57,1
44,Male,Machakos,9502,37499,60,Emergency,122,9943,6,1,0.762,0.651,0
52,Female,Machakos,10952,44136,30,Farm Inputs,69,10455,4,0,0.519,0.574,0
18,Male,Nakuru,32143,39820,60,School Fees,73,28325,3,0,0.789,0.738,1
52,Female,Meru,8129,8812,14,Emergency,57,5025,2,0,0.67,0.646,1
54,Female,Kiambu,21425,42961,60,Emergency,151,19676,5,1,0.865,0.711,1
64,Female,Nakuru,32419,19731,30,Business,70,34028,4,0,0.754,0.72,1
31,Female,Nakuru,29999,34385,30,Business,180,27352,2,2,0.554,0.417,0
20,Female,Machakos,20373,44451,60,Farm Inputs,70,18941,2,0,0.803,0.729,1
18,Female,Kiambu,27291,43083,14,School Fees,22,28373,4,0,0.496,0.584,1
22,Female,Kiambu,26285,41129,30,Emergency,84,17805,2,0,0.564,0.617,0
43,Male,Kisumu,22309,35506,14,Farm Inputs,43,12933,2,2,0.664,0.462,0
31,Male,Machakos,22469,39868,30,School Fees,131,15145,1,0,1.0,0.83,1
56,Male,Kiambu,51825,14531,14,Farm Inputs,55,21302,1,0,0.65,0.694,1
44,Male,Nakuru,34711,2933,14,Emergency,131,29541,7,0,0.744,0.718,0
26,Female,Mombasa,54767,25878,60,Farm Inputs,155,22438,5,2,0.617,0.581,1
32,Female,Mombasa,19036,23893,14,Business,165,14380,1,0,0.721,0.686,1
32,Female,Machakos,23980,7666,30,Business,192,10530,4,1,0.686,0.615,0
43,Male,Kisumu,9014,37641,60,Personal,191,1422,2,0,0.374,0.499,0
59,Male,Kisumu,15285,41414,30,School Fees,102,14045,1,0,0.795,0.718,1
30,Male,Kiambu,47822,1971,60,Emergency,158,7757,2,0,0.57,0.649,0
49,Female,Meru,18735,9518,60,School Fees,149,21489,4,2,0.771,0.591,1
56,Male,Machakos,48031,30116,14,Business,185,13234,0,0,0.742,0.735,1
49,Female,Meru,10079,31271,14,Emergency,82,21808,3,0,0.405,0.516,1
21,Male,Mombasa,12358,18312,30,Personal,175,32553,8,2,0.971,0.735,1
47,Female,Nakuru,20905,15529,30,Business,52,14088,0,0,0.738,0.697,1
54,Male,Kiambu,24235,4806,14,Business,86,16139,2,0,0.597,0.631,1
40,Female,Nakuru,36077,13677,30,School Fees,152,17544,2,1,0.616,0.556,1
56,Male,Meru,30409,4281,30,Farm Inputs,167,13022,0,0,0.691,0.686,0
62,Male,Kiambu,20004,27101,14,School Fees,37,15812,2,0,0.617,0.635,1
32,Female,Nairobi,23400,19201,60,Business,85,12549,1,0,0.598,0.63,1
60,Female,Nakuru,21171,7188,14,School Fees,103,24505,3,0,0.752,0.704,1
46,Male,Machakos,14024,17890,30,Farm Inputs,6,13491,4,0,0.774,0.706,1
53,Female,Nakuru,14344,34905,60,Personal,166,6260,4,0,0.555,0.597,1
30,Male,Nakuru,37334,25920,14,Emergency,80,6862,4,0,0.414,0.557,0
49,Female,Kiambu,5000,38379,60,Business,94,9111,2,0,0.682,0.647,0
24,Male,Mombasa,44408,24333,30,School Fees,130,11864,2,0,0.855,0.787,1
39,Female,Meru,20884,13185,60,Business,164,21126,4,0,0.736,0.696,1
45,Male,Nairobi,15729,32992,30,Emergency,25,20684,1,0,0.847,0.744,1
19,Male,Nakuru,33877,20171,14,School Fees,9,21270,4,0,0.351,0.521,0
59,Male,Meru,42822,36129,60,Personal,32,15118,2,1,0.579,0.547,0
62,Female,Meru,38411,9184,60,Emergency,91,21954,3,0,0.534,0.618,0
23,Male,Mombasa,31022,28074,60,Farm Inputs,52,13285,4,2,0.517,0.48,0
45,Female,Kisumu,38042,6225,30,Farm Inputs,100,2154,3,0,0.493,0.597,1
45,Female,Nairobi,5000,12349,14,Business,103,21639,1,0,0.531,0.572,1
61,Female,Nairobi,18738,31293,14,Farm Inputs,74,10203,1,0,0.714,0.682,1
61,Male,Meru,14065,31671,30,School Fees,87,13484,3,0,0.756,0.697,1
37,Female,Kiambu,39695,34753,60,Farm Inputs,172,12458,8,3,0.472,0.489,1
47,Female,Nakuru,20398,33151,30,Personal,10,18655,3,0,0.975,0.815,1
28,Female,Kisumu,35144,7081,30,School Fees,146,16112,2,1,0.82,0.657,1
45,Male,Kiambu,31430,5721,14,Business,123,13396,7,1,0.907,0.758,1
42,Female,Machakos,14652,26045,30,Business,129,26192,1,0,0.598,0.618,1
56,Female,Mombasa,17956,16627,60,Farm Inputs,71,14364,4,1,0.547,0.537,0
50,Female,Mombasa,40525,5532,30,Farm Inputs,143,13341,1,0,0.668,0.688,0
18,Female,Kiambu,15694,39694,30,Business,171,20655,6,0,0.651,0.646,1
44,Male,Meru,26498,37277,30,School Fees,173,23172,3,0,0.697,0.684,0
30,Male,Mombasa,15609,15595,60,Emergency,28,21236,7,0,0.722,0.682,0
58,Female,Nakuru,21232,22207,30,Business,175,10815,7,1,0.848,0.715,1
20,Female,Mombasa,24446,22327,14,Personal,113,17571,2,0,0.746,0.706,1
56,Female,Nakuru,15605,31120,30,School Fees,99,15594,3,1,0.678,0.585,1
23,Female,Machakos,13474,6807,30,Emergency,158,13643,1,1,0.835,0.585,1
25,Male,Kisumu,28435,36396,14,Emergency,33,8458,2,1,0.797,0.637,1
44,Male,Nairobi,14863,37569,14,School Fees,6,16542,5,1,0.763,0.651,0
26,Male,Kiambu,15272,6527,14,Business,34,22613,0,0,0.553,0.597,0
54,Male,Kiambu,13731,48928,14,Emergency,115,26407,3,0,0.595,0.616,0
50,Female,Nakuru,24065,45513,14,Personal,78,23072,4,1,0.502,0.523,0
59,Female,Machakos,36324,48648,14,School Fees,80,11857,3,1,0.428,0.487,1
61,Male,Machakos,43078,17830,60,Farm Inputs,189,8469,3,0,0.676,0.695,1
41,Male,Meru,16288,3940,30,Business,122,4549,0,0,0.683,0.663,0
32,Female,Nairobi,50803,2045,60,School Fees,191,22382,1,0,0.541,0.638,0
49,Female,Kisumu,12943,46112,60,Personal,23,20759,5,0,0.526,0.58,0
49,Female,Kiambu,38002,31980,14,Emergency,58,11118,1,0,0.639,0.67,1
41,Female,Nakuru,16339,33297,30,Business,124,9694,1,0,0.719,0.681,0
58,Female,Machakos,14548,42931,60,Business,155,23877,3,1,0.657,0.573,0
29,Male,Kiambu,16062,31444,30,School Fees,99,21815,2,1,0.758,0.6,1
56,Male,Nakuru,24370,28836,30,School Fees,37,24046,2,0,0.575,0.62,1
19,Female,Mombasa,31959,36947,14,Personal,70,18929,4,0,0.698,0.692,1
20,Female,Kiambu,33038,15264,30,Farm Inputs,143,19525,3,0,0.868,0.778,1
54,Male,Kisumu,13672,22031,60,School Fees,94,1000,5,0,0.943,0.79,1
34,Female,Nakuru,13124,625,60,School Fees,150,12380,3,1,0.597,0.541,1
19,Male,Kisumu,14000,38176,14,School Fees,69,29160,2,0,0.704,0.671,0
19,Male,Kiambu,23663,28932,60,Personal,164,11024,1,0,0.687,0.675,0
45,Male,Mombasa,22478,7142,14,Emergency,136,16531,5,0,0.75,0.705,0
40,Male,Kisumu,13597,42113,60,Farm Inputs,90,25903,5,1,0.709,0.623,0
54,Female,Machakos,28235,32615,60,Personal,40,21122,5,2,0.965,0.72,0
49,Female,Nakuru,52150,25025,14,School Fees,189,8242,4,1,0.574,0.597,1
50,Male,Kiambu,18943,46916,30,Emergency,118,6781,3,0,0.77,0.71,1
18,Female,Mombasa,19797,42200,14,School Fees,165,26267,0,0,0.86,0.756,1
36,Female,Machakos,31715,41221,30,Personal,146,20189,1,0,0.896,0.79,1
19,Female,Kiambu,18294,25366,30,Business,180,17486,2,1,0.865,0.657,0
61,Female,Meru,33027,11683,14,School Fees,41,18517,5,0,0.874,0.781,1
43,Male,Mombasa,16377,31590,14,Emergency,137,12412,0,0,0.695,0.669,0
49,Female,Machakos,46985,11269,14,Farm Inputs,54,8765,2,0,0.619,0.672,1
23,Male,Kisumu,29137,11431,30,Business,193,18079,1,0,0.717,0.697,0
49,Male,Kiambu,17559,18577,30,School Fees,73,10789,2,0,0.851,0.749,0
21,Female,Kiambu,17935,39155,30,School Fees,105,10862,2,0,0.375,0.512,1
28,Male,Kisumu,18834,26395,30,Emergency,170,12433,2,0,0.653,0.651,1
34,Female,Meru,41472,3321,14,Business,178,20488,3,0,0.563,0.637,0
55,Female,Nairobi,9774,32236,14,Business,102,10084,3,0,0.508,0.567,0
41,Male,Machakos,16984,15254,30,Business,147,9463,0,0,0.61,0.627,0
22,Female,Kisumu,18260,49293,60,School Fees,41,8358,4,1,0.715,0.622,0
51,Male,Kiambu,24811,16718,14,Business,31,13927,2,1,0.726,0.596,0
23,Male,Machakos,21746,44689,60,School Fees,116,22075,2,0,0.78,0.719,0
39,Female,Meru,7105,1895,60,School Fees,5,13980,4,0,0.839,0.729,1
28,Female,Machakos,20202,4461,60,Business,161,15018,2,0,0.95,0.802,1
33,Female,Nairobi,23805,35882,30,Personal,129,16329,1,0,0.644,0.654,1
50,Male,Kiambu,17462,48321,14,Farm Inputs,139,12690,3,1,0.783,0.64,1
26,Female,Mombasa,33241,23754,60,Farm Inputs,33,8632,1,0,0.795,0.742,0
23,Male,Nairobi,36032,18428,30,Personal,163,11974,5,1,0.5,0.548,1
33,Male,Nairobi,24059,38493,14,Business,42,11028,4,0,0.819,0.742,0
46,Female,Mombasa,27766,12593,30,School Fees,12,14378,2,1,0.675,0.575,1
20,Female,Mombasa,5000,15202,14,Emergency,99,11836,2,0,0.707,0.66,0
37,Female,Meru,19946,45957,14,Personal,169,16577,3,0,0.596,0.624,1
53,Male,Meru,37057,26856,30,Farm Inputs,191,14213,1,0,0.613,0.656,1
36,Female,Nairobi,19918,8486,60,Farm Inputs,186,10637,5,1,0.766,0.66,0
43,Male,Machakos,16152,27226,14,School Fees,190,25189,1,1,0.722,0.533,1
20,Female,Kisumu,52332,47928,14,Farm Inputs,100,18362,5,3,0.868,0.654,1
36,Female,Kisumu,46828,13160,60,Farm Inputs,30,13542,3,0,0.667,0.696,1
37,Male,Nairobi,30610,7534,14,School Fees,180,11214,3,0,0.798,0.74,1
49,Male,Machakos,38666,42905,60,Business,117,21398,8,2,0.813,0.691,0
24,Female,Mombasa,5000,14080,14,Farm Inputs,15,8925,0,0,0.551,0.582,0
58,Female,Nakuru,15549,43428,60,Business,27,24826,4,0,0.511,0.576,1
50,Female,Nairobi,19360,17980,14,Emergency,166,4964,1,0,0.58,0.616,0
57,Female,Kiambu,22168,1704,14,Business,37,34373,1,1,0.806,0.582,1
56,Female,Machakos,19120,43380,14,School Fees,134,12045,2,0,0.762,0.706,0
35,Male,Kiambu,5000,24831,60,School Fees,117,5911,3,1,0.661,0.562,0
57,Male,Kiambu,29632,4083,14,School Fees,65,10316,1,1,0.722,0.551,0
18,Male,Nairobi,31523,16756,30,Farm Inputs,136,12816,2,1,0.479,0.481,1
28,Male,Machakos,44222,44599,30,Personal,16,11055,1,0,0.66,0.689,0
45,Female,Kiambu,15540,8039,30,Farm Inputs,161,17491,5,2,0.803,0.622,1
42,Male,Meru,14558,44879,14,Business,111,16991,2,1,0.699,0.569,1
40,Male,Meru,5000,35306,60,Emergency,107,37226,2,1,0.62,0.517,0
48,Male,Machakos,21477,22810,60,Emergency,174,15610,3,0,0.724,0.691,1
47,Female,Kisumu,35813,8723,14,Emergency,189,5721,3,1,0.563,0.554,0
59,Male,Nakuru,17658,10660,30,Emergency,182,13791,5,0,0.628,0.638,0
52,Female,Kiambu,50721,19858,60,Personal,70,15962,2,1,0.703,0.619,0
24,Male,Kiambu,21920,31839,14,Emergency,139,11429,3,1,0.584,0.546,0
33,Female,Machakos,26763,12022,60,Farm Inputs,129,19492,2,1,0.553,0.512,0
43,Male,Meru,8642,36836,30,Emergency,61,20381,2,0,0.823,0.723,1
19,Female,Nakuru,28446,28001,30,School Fees,50,10549,5,1,0.645,0.61,1
18,Male,Kisumu,5000,28514,60,Business,26,12532,2,0,0.481,0.547,0
29,Female,Kiambu,33324,44582,14,Farm Inputs,143,1655,1,0,0.629,0.659,1
22,Female,Nairobi,33693,8798,14,Personal,165,8906,4,0,0.761,0.726,0
54,Male,Meru,41311,701,60,Farm Inputs,186,13134,1,0,0.392,0.551,0
49,Female,Machakos,12760,8456,30,School Fees,152,15986,5,1,0.695,0.615,0
26,Female,Machakos,26926,7885,14,Emergency,9,14054,1,0,0.555,0.613,0
58,Male,Meru,31765,6507,60,Emergency,72,9107,2,1,0.703,0.594,1
52,Male,Kiambu,30307,35062,60,Personal,18,22748,3,2,0.562,0.472,0
36,Female,Kisumu,14616,1908,30,Business,135,22051,5,2,0.68,0.559,0
33,Male,Kiambu,5000,1416,30,Emergency,118,22737,2,0,0.777,0.695,1
20,Male,Meru,29163,8278,14,Personal,190,25852,2,0,0.714,0.696,0
37,Male,Mombasa,23170,43144,14,Emergency,31,8108,4,1,0.428,0.485,1
41,Female,Kiambu,18199,47708,14,Farm Inputs,8,18003,3,0,0.795,0.722,1
50,Female,Nakuru,34167,6846,30,Personal,132,21387,2,0,0.763,0.727,1
41,Female,Meru,24460,49137,60,Personal,199,30899,3,0,0.622,0.644,0
28,Female,Nakuru,9169,36434,14,Personal,68,25476,3,2,0.403,0.364,1
25,Female,Meru,5000,40612,14,Emergency,90,13205,4,0,0.573,0.593,0
53,Female,Mombasa,11452,16948,14,Personal,174,3874,6,2,0.767,0.613,0
55,Female,Nakuru,53716,36918,60,Farm Inputs,161,6530,2,0,0.62,0.681,1
57,Male,Nakuru,33673,15215,14,Business,84,19709,2,2,0.656,0.473,1
37,Female,Nairobi,27263,39666,14,Business,167,15434,1,0,0.693,0.683,1
52,Female,Machakos,22820,35283,30,School Fees,23,10118,5,1,0.844,0.703,1
42,Male,Nakuru,22031,26397,30,Farm Inputs,120,1093,2,0,0.604,0.631,1
52,Male,Machakos,39006,49208,30,Farm Inputs,98,21202,4,1,0.829,0.707,0
42,Male,Meru,19112,37292,60,Personal,73,6930,3,1,0.758,0.629,1
46,Female,Kisumu,31923,23198,30,School Fees,35,24918,5,0,0.897,0.791,1
35,Male,Kiambu,20818,42072,14,Farm Inputs,175,8004,0,0,0.511,0.583,1
63,Female,Nairobi,48281,9343,14,Farm Inputs,99,11887,5,0,0.682,0.706,1
35,Female,Meru,33907,46273,60,Farm Inputs,153,10332,2,0,0.924,0.807,1
19,Female,Mombasa,39946,32051,60,Emergency,114,19438,4,0,0.717,0.712,1
52,Male,Kisumu,17987,34655,14,Farm Inputs,197,10300,1,0,0.659,0.654,0
33,Male,Nairobi,37697,27942,60,Emergency,166,13520,3,2,0.585,0.493,0
58,Female,Nairobi,21249,27196,14,Farm Inputs,193,12552,2,1,0.793,0.625,0
53,Female,Meru,26320,22063,30,Business,40,8850,2,1,0.733,0.601,1
50,Female,Mombasa,44620,23482,14,Emergency,45,15110,3,0,0.596,0.658,1
21,Male,Mombasa,12486,23363,60,Emergency,166,16854,1,0,0.829,0.731,0
50,Female,Machakos,27438,5263,30,Personal,157,19932,1,0,0.94,0.807,1
31,Male,Kiambu,30256,28271,14,Farm Inputs,189,19274,3,0,0.663,0.672,1
38,Female,Meru,31240,32698,60,School Fees,69,20024,5,2,0.729,0.606,0
37,Male,Kisumu,19590,20993,60,School Fees,80,2605,0,0,0.641,0.647,1
25,Female,Kiambu,50035,6035,30,School Fees,128,14840,8,2,0.63,0.615,0
24,Male,Kisumu,9460,33019,14,School Fees,26,8738,1,0,0.749,0.687,1
20,Male,Nairobi,42506,12520,14,Business,192,15069,1,0,0.717,0.715,1
34,Male,Nakuru,39580,30245,60,School Fees,186,15975,3,0,0.555,0.63,0
50,Male,Nakuru,47810,31406,30,Personal,125,16454,6,0,0.746,0.737,1
29,Male,Meru,5941,36396,14,School Fees,26,3770,5,0,0.527,0.571,0
39,Male,Mombasa,14574,21750,30,Personal,193,31754,5,1,0.853,0.696,1
39,Female,Mombasa,42903,38353,60,Emergency,130,31113,2,0,0.931,0.823,1
63,Female,Nairobi,5000,11797,14,Farm Inputs,198,10641,0,0,0.503,0.558,0
47,Female,Nairobi,5722,27283,60,School Fees,177,7206,2,0,0.757,0.686,0
55,Female,Kisumu,19140,16757,14,Personal,73,34893,3,0,0.668,0.659,0
55,Male,Nairobi,27303,39266,60,Personal,196,22748,4,0,0.712,0.692,0
62,Female,Meru,44106,47291,14,Farm Inputs,14,20241,4,1,0.894,0.746,1
25,Male,Kisumu,22776,44637,30,Emergency,199,6428,4,1,0.4,0.47,0
44,Male,Kiambu,17701,30586,14,School Fees,15,26281,2,1,0.569,0.508,1
44,Male,Mombasa,28736,24563,14,Personal,160,8919,4,1,0.856,0.706,1
51,Female,Mombasa,30635,43782,60,School Fees,9,13702,4,1,0.475,0.518,1
38,Male,Nakuru,30294,30484,14,Business,16,24640,2,0,0.616,0.649,1
